4GVB_1	4GVB_1	80	1.013E+00	1.000E+00	1.000E+00	0.000E+00
4GVB_1	4GVB_2	74	4.095E-01	3.650E-01	3.621E-01	5.711E+00
4GVB_1	6QPK_1	74	5.869E-01	4.768E-01	4.768E-01	4.076E+00
4GVB_1	7PP2_2	27	3.952E-01	1.524E-01	2.193E-01	6.610E+00
4GVB_1	9FEI_1	11	9.387E-01	1.359E-01	4.583E-02	4.292E-01
4GVB_1	7EAU_1	38	3.289E-01	1.655E-01	2.463E-01	8.653E+00
4GVB_1	7ZJY_1	45	2.540E-01	1.191E-01	1.520E-01	9.864E+00
4GVB_1	7ZKD_1	94	1.770E-01	1.551E-01	1.357E-01	1.002E+01
4GVB_1	8OXK_1	14	7.265E-01	1.626E-01	1.331E-01	1.142E+00
4GVB_1	6R5J_1	87	2.247E-01	1.877E-01	2.084E-01	9.776E+00
4GVB_1	2OPC_1	92	2.814E-01	2.522E-01	1.813E-01	1.418E+01
4GVB_1	8C8A_1	34	3.982E-01	1.742E-01	1.040E-01	5.579E+00
4GVB_1	1KG1_1	15	2.824E-01	9.169E-02	1.085E-01	4.549E+00
4GVB_1	8OXI_1	41	2.467E-01	1.312E-01	1.187E-01	1.074E+01
4GVB_1	5FID_1	70	4.917E-01	2.500E-01	1.551E-01	1.043E+01
4GVB_1	31EE_1	32	3.789E-01	1.715E-01	5.853E-02	1.049E+01
4GVB_1	5FNO_1	38	3.594E-01	1.338E-01	3.012E-02	5.818E+00
4GVB_1	2N37_1	18	2.309E-01	1.351E-01	1.544E-01	4.354E+00
4GVB_1	6FUB_1	7	6.387E-01	7.988E-02	6.952E-02	1.263E+00
4GVB_1	6FUD_2	7	6.520E-01	8.000E-02	6.962E-02	1.253E+00
4GVB_1	6G11_1	7	6.405E-01	7.991E-02	6.955E-02	1.260E+00
4GVB_1	7B1I_2	7	6.498E-01	8.001E-02	6.893E-02	1.252E+00
4GVB_1	7NMM_2	9	5.446E-01	1.009E-01	8.630E-02	1.393E+00
4GVB_1	8V1J_1	17	3.272E-01	9.504E-02	6.595E-02	5.560E+00
4GVB_1	7T69_1	20	2.541E-01	1.569E-01	6.074E-02	3.526E+00
4GVB_1	6Q76_2	18	2.227E-01	1.327E-01	1.491E-01	4.406E+00
4GVB_1	5JHJ_1	17	2.186E-01	1.234E-01	1.073E-01	4.280E+00
4GVB_1	8R7A_2	67	1.692E-01	1.250E-01	8.302E-02	1.038E+01
8ACX_1	8ACX_1	144	1.007E+00	1.000E+00	1.000E+00	0.000E+00
8ACX_1	1KPT_1	128	4.709E-01	3.580E-01	4.568E-01	7.587E+00
8ACX_1	5OD4_1	155	1.677E-01	1.432E-01	1.552E-01	1.559E+01
8ACX_1	8EB9_1	60	3.785E-01	1.200E-01	1.707E-01	1.204E+01
8ACX_1	6FMB_1	76	2.127E-01	7.925E-02	1.101E-01	1.336E+01
8ACX_1	6SGO_1	84	1.773E-01	9.990E-02	9.041E-02	1.583E+01
8ACX_1	5A6W_2	29	3.306E-01	1.158E-01	1.610E-01	4.916E+00
8ACX_1	6FU9_2	29	3.301E-01	1.157E-01	1.609E-01	4.920E+00
8ACX_1	6G10_2	29	3.299E-01	1.157E-01	1.609E-01	4.918E+00
8ACX_1	8OXI_1	91	2.058E-01	1.203E-01	1.535E-01	1.238E+01
8ACX_1	7AD5_1	55	3.142E-01	1.563E-01	1.717E-01	6.154E+00
8ACX_1	5XMZ_1	102	1.616E-01	9.347E-02	8.813E-02	1.704E+01
8ACX_1	6WES_1	115	1.502E-01	1.070E-01	9.952E-02	1.688E+01
8ACX_1	6FUB_1	29	3.255E-01	1.136E-01	1.596E-01	4.999E+00
8ACX_1	6FUD_2	29	3.296E-01	1.152E-01	1.607E-01	4.944E+00
8ACX_1	6G11_1	29	3.255E-01	1.139E-01	1.596E-01	4.996E+00
8ACX_1	7A8X_2	29	3.284E-01	1.152E-01	1.605E-01	4.939E+00
8ACX_1	2OPC_1	132	2.234E-01	1.789E-01	1.865E-01	1.074E+01
8ACX_1	4FPQ_1	126	2.045E-01	1.210E-01	1.303E-01	1.553E+01
8ACX_1	8EBB_1	136	1.486E-01	1.264E-01	1.197E-01	1.427E+01
8ACX_1	4GVB_1	17	2.113E-01	9.030E-02	1.431E-01	3.283E+00
8ACX_1	8OXH_1	86	1.907E-01	8.468E-02	1.196E-01	1.107E+01
8ACX_1	7B1I_2	29	3.255E-01	1.149E-01	1.587E-01	4.961E+00
8ACX_1	8V1J_1	142	1.546E-01	1.210E-01	1.358E-01	1.646E+01
8ACX_1	4FPR_1	124	1.830E-01	1.185E-01	1.268E-01	1.354E+01
8ACX_1	8R7A_2	55	2.134E-01	8.871E-02	8.832E-02	8.965E+00
8ACX_1	5FNO_1	13	3.069E-01	6.555E-02	1.885E-02	3.683E+00
8ACX_1	8OXJ_1	33	3.113E-01	8.240E-02	1.151E-01	5.658E+00
8ACX_1	7MQQ_1	83	1.948E-01	1.034E-01	1.238E-01	1.167E+01
8ACX_1	9FYC_2	91	1.596E-01	9.468E-02	1.056E-01	1.113E+01
8ACX_1	9FEI_1	91	1.328E-01	7.897E-02	5.869E-02	1.741E+01
8ACX_1	7NLJ_2	93	1.816E-01	1.029E-01	1.406E-01	1.446E+01
8EB9_1	8EB9_1	95	1.011E+00	1.000E+00	1.000E+00	0.000E+00
8EB9_1	1ZLE_1	75	5.973E-01	4.501E-01	3.745E-01	5.359E+00
8EB9_1	1ZLD_1	75	5.974E-01	4.502E-01	3.746E-01	5.360E+00
8EB9_1	5Z1V_1	24	6.331E-01	2.216E-01	3.139E-01	1.780E+00
8EB9_1	6R5J_1	80	2.513E-01	2.124E-01	2.495E-01	9.521E+00
8EB9_1	2MM2_1	65	4.132E-01	2.345E-01	3.217E-01	9.913E+00
8EB9_1	2MYW_1	24	5.002E-01	2.080E-01	2.043E-01	2.208E+00
8EB9_1	5A6W_2	41	4.645E-01	2.114E-01	2.149E-01	7.654E+00
8EB9_1	6FU9_2	41	4.641E-01	2.113E-01	2.148E-01	7.653E+00
8EB9_1	6G10_2	41	4.643E-01	2.111E-01	2.147E-01	7.653E+00
8EB9_1	7NMM_2	80	3.515E-01	1.875E-01	1.875E-01	1.104E+01
8EB9_1	5JHJ_1	24	5.141E-01	2.093E-01	2.055E-01	2.152E+00
8EB9_1	6FUB_1	80	3.837E-01	2.095E-01	2.129E-01	8.617E+00
8EB9_1	6FUD_2	80	3.860E-01	2.112E-01	2.147E-01	8.585E+00
8EB9_1	6G11_1	80	3.837E-01	2.096E-01	2.130E-01	8.621E+00
8EB9_1	7A8X_2	80	3.856E-01	2.112E-01	2.146E-01	8.574E+00
