8DP8_1	8DP8_1	140	1.007E+00	0.000E+00
8DP8_1	8DP9_1	138	9.921E-01	4.630E-01
8DP8_1	7NMM_2	98	3.076E-01	1.133E+01
8DP8_1	8OXL_1	35	4.820E-01	6.330E+00
8DP8_1	8EBB_1	49	2.199E-01	1.600E+01
8DP8_1	7NLJ_2	96	3.083E-01	1.108E+01
8DP8_1	8OXH_1	105	1.623E-01	1.352E+01
8DP8_1	1KPT_1	89	1.916E-01	1.197E+01
8DP8_1	6ZUS_1	67	2.011E-01	1.016E+01
8DP8_1	2MM0_1	60	2.065E-01	1.005E+01
8DP8_1	8EB9_1	96	1.781E-01	1.326E+01
8DP8_1	1ZLD_1	52	1.746E-01	8.986E+00
8DP8_1	1ZLE_1	56	2.011E-01	9.461E+00
8DP8_1	7MQQ_1	106	1.825E-01	1.295E+01
8DP8_1	4GVB_2	98	2.273E-01	1.022E+01
8DP8_1	4Z4A_1	30	2.891E-01	9.703E+00
8DP8_1	5VJJ_1	14	4.404E-01	1.726E+00
8DP8_1	6BN0_1	32	2.366E-01	8.967E+00
8DP8_1	8V1J_1	101	2.041E-01	1.743E+01
8DP8_1	5XMZ_1	94	2.117E-01	1.506E+01
8DP8_1	7T6A_1	115	1.557E-01	1.231E+01
8DP8_1	7ZJY_1	21	1.396E-01	6.467E+00
8DP8_1	5ZNG_2	9	4.457E-01	1.680E+00
8DP8_1	6R5J_1	101	2.607E-01	1.460E+01
8DP8_1	2MYV_1	27	2.059E-01	6.462E+00
8DP8_1	2LW6_1	100	1.670E-01	1.228E+01
8DP8_1	8R7A_2	90	2.989E-01	8.833E+00
8DP8_1	6SGO_1	117	1.511E-01	1.786E+01
8DP8_1	8OXK_1	106	1.789E-01	1.336E+01
7B1I_2	7B1I_2	81	1.013E+00	4.403E-02
7B1I_2	6FUD_2	81	1.001E+00	4.405E-01
7B1I_2	6FU9_2	81	1.003E+00	3.921E-01
7B1I_2	6FUB_1	81	1.004E+00	3.749E-01
7B1I_2	5A6W_2	81	1.002E+00	4.024E-01
7B1I_2	6G11_1	81	1.004E+00	3.749E-01
7B1I_2	6G10_2	81	1.000E+00	4.568E-01
7B1I_2	7A8X_2	80	1.000E+00	4.387E-01
7B1I_2	7NMM_2	81	9.895E-01	6.185E-01
7B1I_2	7NLJ_2	81	9.815E-01	7.312E-01
7B1I_2	5ZNG_2	63	7.012E-01	2.722E+00
