6G10_2	5A6W_2	93	1.011E+00	1.000E+00	1.000E+00	6.697E-03
6G10_2	6FU9_2	93	1.011E+00	1.000E+00	1.000E+00	6.697E-03
6G10_2	6G10_2	93	1.011E+00	1.000E+00	1.000E+00	6.697E-03
6G10_2	6FUB_1	93	1.000E+00	9.894E-01	9.894E-01	4.462E-01
6G10_2	6G11_1	93	1.000E+00	9.894E-01	9.894E-01	4.462E-01
6G10_2	6FUD_2	93	9.908E-01	9.802E-01	9.802E-01	7.914E-01
6G10_2	7B1I_2	92	9.723E-01	9.521E-01	9.423E-01	9.108E-01
6G10_2	7A8X_2	99	3.959E-01	3.923E-01	3.923E-01	1.321E+01
6G10_2	6R5J_1	65	7.237E-01	5.003E-01	6.468E-01	2.673E+00
6G10_2	5Z1V_1	51	7.783E-01	4.599E-01	6.313E-01	1.900E+00
6G10_2	7ZK0_1	80	5.966E-01	4.901E-01	5.083E-01	6.010E+00
6G10_2	8C8A_1	76	6.075E-01	4.740E-01	3.095E-01	4.702E+00
6G10_2	2N37_1	67	5.885E-01	4.102E-01	5.274E-01	3.284E+00
6G10_2	5JHJ_1	78	5.280E-01	4.204E-01	4.073E-01	4.589E+00
6G10_2	8R7A_2	69	6.209E-01	4.434E-01	3.076E-01	3.728E+00
6G10_2	6Q76_2	75	5.167E-01	3.746E-01	4.725E-01	5.020E+00
6G10_2	7ZJY_1	63	5.173E-01	3.657E-01	5.050E-01	4.947E+00
6G10_2	2MYW_1	71	5.097E-01	3.721E-01	3.614E-01	4.954E+00
6G10_2	2MM0_1	32	6.013E-01	2.705E-01	3.676E-01	2.312E+00
6G10_2	8V1J_1	42	4.570E-01	2.157E-01	1.761E-01	5.810E+00
6G10_2	7NMM_2	121	2.211E-01	2.191E-01	2.153E-01	1.054E+01
6G10_2	1FN8_1	86	3.383E-01	2.530E-01	1.337E-01	9.388E+00
6G10_2	8OXL_1	35	3.461E-01	1.563E-01	1.578E-01	5.578E+00
6G10_2	7T6A_1	74	2.604E-01	1.831E-01	1.002E-01	1.441E+01
6G10_2	7NLJ_2	102	2.237E-01	1.981E-01	1.981E-01	1.091E+01
6G10_2	5XMZ_1	82	1.566E-01	1.140E-01	7.996E-02	1.445E+01
6G10_2	8EB9_1	28	4.359E-01	1.773E-01	1.743E-01	4.076E+00
6G10_2	9FYC_2	103	2.312E-01	2.145E-01	1.763E-01	1.278E+01
6G10_2	5FID_1	117	2.723E-01	1.928E-01	1.429E-01	1.427E+01
6G10_2	2LW6_1	28	4.453E-01	1.773E-01	1.991E-01	3.813E+00
6G10_2	1KPT_1	27	2.740E-01	1.308E-01	1.188E-01	6.880E+00
6G10_2	6BN0_1	24	2.644E-01	1.040E-01	1.188E-01	6.744E+00
6G10_2	8DP8_1	89	1.468E-01	1.248E-01	9.101E-02	1.453E+01
6G10_2	8DP9_1	89	1.492E-01	1.268E-01	9.138E-02	1.453E+01
6G10_2	6SGO_1	73	1.885E-01	1.370E-01	9.268E-02	1.486E+01
6G10_2	4GVB_2	21	4.242E-01	1.285E-01	1.455E-01	3.618E+00
6G10_2	8OXK_1	107	1.827E-01	1.613E-01	1.535E-01	1.361E+01
6ZUS_1	6ZUS_1	143	1.007E+00	1.000E+00	1.000E+00	3.960E-03
6ZUS_1	7NMM_2	37	5.738E-01	1.917E-01	2.708E-01	3.725E+00
6ZUS_1	7NLJ_2	40	4.662E-01	1.681E-01	2.372E-01	6.545E+00
6ZUS_1	4Z4A_1	24	4.796E-01	1.335E-01	1.548E-01	2.859E+00
6ZUS_1	8OXK_1	82	3.342E-01	1.445E-01	1.850E-01	9.963E+00
6ZUS_1	5Z1V_1	15	6.511E-01	8.776E-02	1.887E-01	1.010E+00
6ZUS_1	8C8A_1	58	4.175E-01	1.702E-01	1.590E-01	1.104E+01
6ZUS_1	5FNO_1	30	4.588E-01	1.091E-01	3.186E-02	4.263E+00
6ZUS_1	7MQQ_1	88	2.037E-01	1.313E-01	1.508E-01	1.323E+01
6ZUS_1	8EBB_1	130	1.704E-01	1.124E-01	1.012E-01	1.249E+01
6ZUS_1	6BN0_1	24	5.618E-01	1.422E-01	2.417E-01	2.670E+00
6ZUS_1	7B1I_2	74	2.310E-01	1.133E-01	1.393E-01	9.243E+00
6ZUS_1	7ZJY_1	19	3.833E-01	1.079E-01	2.240E-01	2.288E+00
6ZUS_1	8OXJ_1	63	3.293E-01	1.256E-01	1.641E-01	8.727E+00
6ZUS_1	8DP8_1	26	2.848E-01	8.771E-02	8.530E-02	7.378E+00
6ZUS_1	6WES_1	74	1.702E-01	8.311E-02	8.005E-02	1.606E+01
7XC2_2	7XC2_2	434	1.002E+00	1.000E+00	1.000E+00	0.000E+00
7XC2_2	7XDS_1	433	5.000E-01	4.989E-01	4.010E-01	1.108E+01
7XC2_2	7XE0_2	433	5.000E-01	4.989E-01	4.010E-01	1.108E+01
